value,datetime,datetime_utc,tz_time,geo_id,geo_name
22360.0,2018-09-02T08:30:00.000+02:00,2018-09-02T06:30:00Z,2018-09-02T06:30:00.000Z,8741,Península
22810.0,2018-09-02T08:40:00.000+02:00,2018-09-02T06:40:00Z,2018-09-02T06:40:00.000Z,8741,Península
22638.0,2018-09-02T08:50:00.000+02:00,2018-09-02T06:50:00Z,2018-09-02T06:50:00.000Z,8741,Península
23422.0,2018-09-02T09:00:00.000+02:00,2018-09-02T07:00:00Z,2018-09-02T07:00:00.000Z,8741,Península
23663.0,2018-09-02T09:10:00.000+02:00,2018-09-02T07:10:00Z,2018-09-02T07:10:00.000Z,8741,Península
23865.0,2018-09-02T09:20:00.000+02:00,2018-09-02T07:20:00Z,2018-09-02T07:20:00.000Z,8741,Península
24227.0,2018-09-02T09:30:00.000+02:00,2018-09-02T07:30:00Z,2018-09-02T07:30:00.000Z,8741,Península
24173.0,2018-09-02T09:40:00.000+02:00,2018-09-02T07:40:00Z,2018-09-02T07:40:00.000Z,8741,Península
24624.0,2018-09-02T09:50:00.000+02:00,2018-09-02T07:50:00Z,2018-09-02T07:50:00.000Z,8741,Península
24904.0,2018-09-02T10:00:00.000+02:00,2018-09-02T08:00:00Z,2018-09-02T08:00:00.000Z,8741,Península
25245.0,2018-09-02T10:10:00.000+02:00,2018-09-02T08:10:00Z,2018-09-02T08:10:00.000Z,8741,Península
25470.0,2018-09-02T10:20:00.000+02:00,2018-09-02T08:20:00Z,2018-09-02T08:20:00.000Z,8741,Península
25723.0,2018-09-02T10:30:00.000+02:00,2018-09-02T08:30:00Z,2018-09-02T08:30:00.000Z,8741,Península
26154.0,2018-09-02T10:40:00.000+02:00,2018-09-02T08:40:00Z,2018-09-02T08:40:00.000Z,8741,Península
26206.0,2018-09-02T10:50:00.000+02:00,2018-09-02T08:50:00Z,2018-09-02T08:50:00.000Z,8741,Península
26479.0,2018-09-02T11:00:00.000+02:00,2018-09-02T09:00:00Z,2018-09-02T09:00:00.000Z,8741,Península
26713.0,2018-09-02T11:10:00.000+02:00,2018-09-02T09:10:00Z,2018-09-02T09:10:00.000Z,8741,Península
26782.0,2018-09-02T11:20:00.000+02:00,2018-09-02T09:20:00Z,2018-09-02T09:20:00.000Z,8741,Península
27072.0,2018-09-02T11:30:00.000+02:00,2018-09-02T09:30:00Z,2018-09-02T09:30:00.000Z,8741,Península
27225.0,2018-09-02T11:40:00.000+02:00,2018-09-02T09:40:00Z,2018-09-02T09:40:00.000Z,8741,Península
